term;c1;c2;c3;c4;pwc1;pwc2;pwc3;pwc4;pc1;pc2;pc3;pc4
 volume ;0;0;4;0;0.000211864406779661;0.00042176296921130323;0.000860141063134354;0.00028901734104046245;21;3;24;9
 provides ;5;0;2;1;0.001271186440677966;0.00042176296921130323;0.0005160846378806125;0.0005780346820809249;21;3;24;9
 quantisation ;1;0;1;0;0.000423728813559322;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 achieve ;5;0;3;3;0.001271186440677966;0.00042176296921130323;0.0006881128505074832;0.0011560693641618498;21;3;24;9
 sets ;5;1;7;0;0.001271186440677966;0.0008435259384226065;0.0013762257010149664;0.00028901734104046245;21;3;24;9
 extraction ;19;0;4;2;0.00423728813559322;0.00042176296921130323;0.000860141063134354;0.0008670520231213873;21;3;24;9
 np ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 derivation ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 base ;0;1;0;1;0.000211864406779661;0.0008435259384226065;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 opposite ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 low ;1;0;5;4;0.000423728813559322;0.00042176296921130323;0.001032169275761225;0.001445086705202312;21;3;24;9
 turns ;0;0;1;1;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.0005780346820809249;21;3;24;9
 selective ;0;0;0;2;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0008670520231213873;21;3;24;9
